date,latitude,longitude,country,state_province,Where to fish,location_name,geo_code,search_term,year,language_code,week_number
2023-12-31,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,1
2024-01-07,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,2
2024-01-14,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,3
2024-01-21,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,4
2024-01-28,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,5
2024-02-04,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,6
2024-02-11,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,7
2024-02-18,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,8
2024-02-25,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,9
2024-03-03,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,10
2024-03-10,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,11
2024-03-17,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,12
2024-03-24,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,13
2024-03-31,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,14
2024-04-07,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,15
2024-04-14,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,16
2024-04-21,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,17
2024-04-28,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,18
2024-05-05,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,19
2024-05-12,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,20
2024-05-19,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,21
2024-05-26,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,22
2024-06-02,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,23
2024-06-09,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,24
2024-06-16,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,25
2024-06-23,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,26
2024-06-30,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,27
2024-07-07,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,28
2024-07-14,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,29
2024-07-21,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,30
2024-07-28,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,31
2024-08-04,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,32
2024-08-11,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,33
2024-08-18,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,34
2024-08-25,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,35
2024-09-01,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,36
2024-09-08,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,37
2024-09-15,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,38
2024-09-22,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,39
2024-09-29,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,40
2024-10-06,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,41
2024-10-13,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,42
2024-10-20,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,43
2024-10-27,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,44
2024-11-03,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,45
2024-11-10,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,46
2024-11-17,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,47
2024-11-24,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,48
2024-12-01,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,49
2024-12-08,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,50
2024-12-15,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,51
2024-12-22,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,52
2024-12-29,18.1096,-77.2975,Jamaica,National,0,Jamaica,JM,Where to fish,2024,en,53
