date,latitude,longitude,country,state,Fishing Bait,location,geo_code,search_term,year,language_code
2023-12-31,40.7127281,-74.0060152,United States,NY,11,New York,US-NY-501,Fishing Bait,2024,en
2024-01-07,40.7127281,-74.0060152,United States,NY,9,New York,US-NY-501,Fishing Bait,2024,en
2024-01-14,40.7127281,-74.0060152,United States,NY,9,New York,US-NY-501,Fishing Bait,2024,en
2024-01-21,40.7127281,-74.0060152,United States,NY,8,New York,US-NY-501,Fishing Bait,2024,en
2024-01-28,40.7127281,-74.0060152,United States,NY,11,New York,US-NY-501,Fishing Bait,2024,en
2024-02-04,40.7127281,-74.0060152,United States,NY,8,New York,US-NY-501,Fishing Bait,2024,en
2024-02-11,40.7127281,-74.0060152,United States,NY,10,New York,US-NY-501,Fishing Bait,2024,en
2024-02-18,40.7127281,-74.0060152,United States,NY,8,New York,US-NY-501,Fishing Bait,2024,en
2024-02-25,40.7127281,-74.0060152,United States,NY,14,New York,US-NY-501,Fishing Bait,2024,en
2024-03-03,40.7127281,-74.0060152,United States,NY,8,New York,US-NY-501,Fishing Bait,2024,en
2024-03-10,40.7127281,-74.0060152,United States,NY,12,New York,US-NY-501,Fishing Bait,2024,en
2024-03-17,40.7127281,-74.0060152,United States,NY,8,New York,US-NY-501,Fishing Bait,2024,en
2024-03-24,40.7127281,-74.0060152,United States,NY,14,New York,US-NY-501,Fishing Bait,2024,en
2024-03-31,40.7127281,-74.0060152,United States,NY,17,New York,US-NY-501,Fishing Bait,2024,en
2024-04-07,40.7127281,-74.0060152,United States,NY,14,New York,US-NY-501,Fishing Bait,2024,en
2024-04-14,40.7127281,-74.0060152,United States,NY,17,New York,US-NY-501,Fishing Bait,2024,en
2024-04-21,40.7127281,-74.0060152,United States,NY,20,New York,US-NY-501,Fishing Bait,2024,en
2024-04-28,40.7127281,-74.0060152,United States,NY,20,New York,US-NY-501,Fishing Bait,2024,en
2024-05-05,40.7127281,-74.0060152,United States,NY,16,New York,US-NY-501,Fishing Bait,2024,en
2024-05-12,40.7127281,-74.0060152,United States,NY,18,New York,US-NY-501,Fishing Bait,2024,en
2024-05-19,40.7127281,-74.0060152,United States,NY,22,New York,US-NY-501,Fishing Bait,2024,en
2024-05-26,40.7127281,-74.0060152,United States,NY,28,New York,US-NY-501,Fishing Bait,2024,en
2024-06-02,40.7127281,-74.0060152,United States,NY,21,New York,US-NY-501,Fishing Bait,2024,en
2024-06-09,40.7127281,-74.0060152,United States,NY,27,New York,US-NY-501,Fishing Bait,2024,en
2024-06-16,40.7127281,-74.0060152,United States,NY,28,New York,US-NY-501,Fishing Bait,2024,en
2024-06-23,40.7127281,-74.0060152,United States,NY,18,New York,US-NY-501,Fishing Bait,2024,en
2024-06-30,40.7127281,-74.0060152,United States,NY,29,New York,US-NY-501,Fishing Bait,2024,en
2024-07-07,40.7127281,-74.0060152,United States,NY,21,New York,US-NY-501,Fishing Bait,2024,en
2024-07-14,40.7127281,-74.0060152,United States,NY,25,New York,US-NY-501,Fishing Bait,2024,en
2024-07-21,40.7127281,-74.0060152,United States,NY,27,New York,US-NY-501,Fishing Bait,2024,en
2024-07-28,40.7127281,-74.0060152,United States,NY,23,New York,US-NY-501,Fishing Bait,2024,en
2024-08-04,40.7127281,-74.0060152,United States,NY,25,New York,US-NY-501,Fishing Bait,2024,en
2024-08-11,40.7127281,-74.0060152,United States,NY,24,New York,US-NY-501,Fishing Bait,2024,en
2024-08-18,40.7127281,-74.0060152,United States,NY,20,New York,US-NY-501,Fishing Bait,2024,en
2024-08-25,40.7127281,-74.0060152,United States,NY,27,New York,US-NY-501,Fishing Bait,2024,en
2024-09-01,40.7127281,-74.0060152,United States,NY,20,New York,US-NY-501,Fishing Bait,2024,en
2024-09-08,40.7127281,-74.0060152,United States,NY,17,New York,US-NY-501,Fishing Bait,2024,en
2024-09-15,40.7127281,-74.0060152,United States,NY,14,New York,US-NY-501,Fishing Bait,2024,en
2024-09-22,40.7127281,-74.0060152,United States,NY,13,New York,US-NY-501,Fishing Bait,2024,en
2024-09-29,40.7127281,-74.0060152,United States,NY,26,New York,US-NY-501,Fishing Bait,2024,en
2024-10-06,40.7127281,-74.0060152,United States,NY,13,New York,US-NY-501,Fishing Bait,2024,en
2024-10-13,40.7127281,-74.0060152,United States,NY,13,New York,US-NY-501,Fishing Bait,2024,en
2024-10-20,40.7127281,-74.0060152,United States,NY,13,New York,US-NY-501,Fishing Bait,2024,en
2024-10-27,40.7127281,-74.0060152,United States,NY,13,New York,US-NY-501,Fishing Bait,2024,en
2024-11-03,40.7127281,-74.0060152,United States,NY,13,New York,US-NY-501,Fishing Bait,2024,en
2024-11-10,40.7127281,-74.0060152,United States,NY,11,New York,US-NY-501,Fishing Bait,2024,en
2024-11-17,40.7127281,-74.0060152,United States,NY,11,New York,US-NY-501,Fishing Bait,2024,en
2024-11-24,40.7127281,-74.0060152,United States,NY,13,New York,US-NY-501,Fishing Bait,2024,en
2024-12-01,40.7127281,-74.0060152,United States,NY,15,New York,US-NY-501,Fishing Bait,2024,en
2024-12-08,40.7127281,-74.0060152,United States,NY,10,New York,US-NY-501,Fishing Bait,2024,en
2024-12-15,40.7127281,-74.0060152,United States,NY,0,New York,US-NY-501,Fishing Bait,2024,en
2024-12-22,40.7127281,-74.0060152,United States,NY,15,New York,US-NY-501,Fishing Bait,2024,en
2024-12-29,40.7127281,-74.0060152,United States,NY,12,New York,US-NY-501,Fishing Bait,2024,en
